Disaster_Type,Country,Year,Total_Deaths,Injured,Damage_USD,Displaced_People,Latitude,Longitude
Wildfire,Bangladesh,2018,58,94,4848912414,296518,20.45844855,-161.1080349
Volcanic Eruption,Nigeria,1975,50,110,4443729736,979217,-1.821600779,28.48506667
Tsunami,Japan,2017,51,103,836946802,696771,-43.51304108,174.0575541
Landslide,Japan,1981,32,111,1237175811,326512,-13.75981825,-29.66211097
Landslide,Japan,2020,70,93,1067893925,794748,41.4818708,-103.6643896
Tsunami,Bangladesh,2006,55,101,2942173858,503166,25.68054563,7.75492171
Landslide,India,1986,54,98,803202410,796988,-43.23102682,53.56750485
Storm,Indonesia,1992,65,107,2333675337,927562,-37.13486264,-66.53566961
Wildfire,Philippines,1995,56,90,592154990,628842,29.7026703,77.31696906
Tsunami,Mexico,1998,52,91,4005222410,231059,53.878158,171.0412225
Wildfire,USA,2002,54,96,4911954107,418698,-11.07357057,142.9067238
Volcanic Eruption,India,1996,64,101,3872790973,44494,23.34350526,-75.02926554
Earthquake,Nigeria,1994,53,98,750242277,942509,-36.10989757,-62.37947407
Storm,USA,1979,46,101,1516598836,871103,-16.40731283,-46.2451592
Drought,Japan,2016,48,106,1613794488,482640,-57.16217121,-37.96099978
Storm,China,1992,42,92,3394736339,32481,47.55863269,-143.8849803
Tsunami,Nigeria,1990,38,122,4391009228,28401,-3.858625232,94.306622
Drought,USA,1990,39,100,3211457792,564719,54.25758031,-48.4778651
Earthquake,Japan,2012,53,80,4564081421,326603,39.17221944,136.7351916
Tsunami,USA,1982,42,88,3916204551,352617,56.0241972,153.6986243
Flood,China,2006,74,101,1630705526,123311,-20.00778626,-171.2047286
Wildfire,Japan,2002,44,89,3600751799,248482,-34.08477774,175.8611052
Earthquake,Indonesia,1993,63,95,2449574985,644615,76.06679557,75.60818334
Wildfire,India,2013,34,94,2785961688,734042,40.42589019,7.341201357
Landslide,Brazil,1980,51,91,1008694959,994293,56.76591751,-39.77006099
Flood,Mexico,1986,46,98,1127868789,441720,-58.16132768,6.666527739
Flood,Bangladesh,1973,52,93,87047037,396439,-10.37537316,-63.13509937
Earthquake,Mexico,2016,45,100,4901468948,464193,43.99433668,44.16761293
Flood,Nigeria,1994,45,99,2916623035,239198,-49.08240338,-146.5271005
Drought,Mexico,1999,47,118,4791258772,40149,19.42759014,43.60413705
Flood,Japan,1978,34,95,4720758681,537151,0.070187444,-80.87585395
Wildfire,Indonesia,1990,44,93,4837631688,889920,-57.533689,-173.6514615
Wildfire,Brazil,1989,39,107,1879172088,160636,-26.9634192,18.97407582
Tsunami,India,1988,46,81,3145338065,999693,-20.12912153,28.24119211
Wildfire,India,1988,38,110,1205568617,744984,-44.33960751,-26.4351583
Tsunami,China,1981,56,105,2894788106,546787,28.41516736,-153.9769563
Wildfire,Bangladesh,2006,50,114,3985493273,238691,-26.06429732,141.603463
Drought,USA,2011,46,101,1493605881,257128,-21.13327005,40.1150906
Volcanic Eruption,Indonesia,1986,51,114,2455310309,351362,65.75340375,-138.3432122
Tsunami,USA,2006,51,94,1055422266,556420,5.397232977,3.935007574
Storm,Brazil,2023,56,91,2799510178,126272,-5.102059424,-0.988446259
Landslide,Mexico,2017,41,113,2919461740,659893,41.34194536,-158.2553272
Earthquake,India,2008,47,97,2800826578,738322,67.34593156,38.4694933
Wildfire,Brazil,1997,54,96,4462034601,342240,-56.49491293,110.9975036
Flood,Mexico,2010,54,89,788766976,427625,2.753438518,89.64289953
Volcanic Eruption,India,2004,53,92,3838682140,474677,25.50938985,-106.9310109
Wildfire,Mexico,2016,46,97,3957730664,261085,-15.40116626,130.4253106
Flood,Bangladesh,2017,48,97,1064910497,940491,48.1370811,-56.68482036
Landslide,Indonesia,1987,54,84,1651556744,10633,76.00678984,160.7430162
Landslide,Nigeria,1983,54,103,4533659367,449423,72.07983128,-154.1707329
Landslide,Brazil,2004,48,98,3479372104,181607,-22.76244449,-4.964872133
Flood,Brazil,2013,55,100,2384600908,790428,-28.31264102,34.96477578
Wildfire,Philippines,2010,54,88,1269226401,131086,74.04867434,-90.84596455
Landslide,Japan,1976,53,86,4012756378,997935,4.20798824,97.69686794
Drought,Bangladesh,2010,59,103,3669848436,788106,-30.83831877,45.68244473
Tsunami,Bangladesh,1982,49,92,4735774608,431083,38.97957491,-173.4806026
Flood,USA,1987,48,91,565896526,478753,-20.18115465,39.01269265
Flood,Mexico,2006,46,91,2905425213,581539,-22.58542349,-3.067835609
Wildfire,Japan,1982,58,101,3398447441,711069,63.09486603,-109.4294874
Flood,Indonesia,2005,64,89,2056944153,382306,-37.25291853,178.4693617
Flood,Indonesia,2000,58,109,1745084396,148936,-50.98498749,142.9783901
Landslide,Bangladesh,1971,56,97,4434104083,288465,-22.31389838,-74.69722979
Wildfire,Indonesia,1985,57,92,2801673815,155154,24.9723578,14.78553149
Landslide,Philippines,1978,45,102,3168702383,40131,-42.76770052,-66.05922963
Tsunami,Brazil,1978,56,122,4307166265,202565,6.023254119,99.17847059
Volcanic Eruption,China,2007,59,109,2528528822,135282,27.82719546,154.919316
Tsunami,Nigeria,1980,54,88,2308280313,245152,58.82317896,-50.82170151
Volcanic Eruption,USA,2023,46,94,2388448168,775519,-27.81825723,110.0103297
Landslide,Mexico,1991,52,102,3462668840,639951,54.42848527,-0.573284623
Tsunami,Nigeria,2002,54,100,771142486,982090,-27.11312344,-37.23171793
Wildfire,Mexico,2005,48,84,4040260058,870037,34.74731577,157.8318668
Earthquake,India,2014,56,115,1442795376,559139,0.294300008,3.745687939
Landslide,Nigeria,1992,54,87,4637295497,813297,-43.94462607,-11.73221991
Volcanic Eruption,China,2014,53,98,3748168396,870038,39.9968848,62.07638471
Drought,Bangladesh,2014,44,87,2817315199,135230,-29.5132334,-85.95568763
Volcanic Eruption,Philippines,2003,41,87,3152167937,121497,-35.27272036,-63.07456652
Drought,Brazil,1978,58,108,1738396934,319996,-9.834789997,155.536501
Flood,Brazil,1993,55,106,4029800139,311483,31.46063427,64.27074436
Tsunami,Philippines,1977,49,97,3110555787,887518,-27.24049297,117.5893732
Drought,Japan,1976,46,74,2367480776,807004,-34.28738457,-82.3997657
Volcanic Eruption,India,2005,45,90,3138330600,921604,-58.6064924,15.76446837
Flood,Mexico,1987,53,112,1202136606,175541,6.030033594,169.7026561
Earthquake,China,1972,51,105,2619744859,867493,0.010379704,-65.26659635
Wildfire,Indonesia,1997,46,102,1973650816,191933,-27.25851589,-122.2284685
Wildfire,Nigeria,1975,70,102,2981991073,542744,-52.48869704,3.918962961
Wildfire,India,2013,60,87,3298289552,842235,0.095822443,-40.38440806
Drought,Nigeria,2013,51,114,3847450213,327777,50.34871555,-122.5521962
Earthquake,China,1990,37,104,4087563707,730379,40.13949839,139.8784978
Drought,USA,1997,52,97,2738095961,514709,60.51128458,176.6606078
Tsunami,USA,2009,62,95,3006485152,560520,-58.65842372,24.68958505
Drought,India,2023,41,107,883923828,67323,75.29870435,98.88363661
Earthquake,Bangladesh,2023,45,121,4602792804,892499,-12.20228463,129.253813
Earthquake,China,1970,54,100,2195954490,415004,78.65569145,72.35352217
Tsunami,China,2005,57,117,3016983428,802524,-24.63327552,-164.1038223
Earthquake,Philippines,1990,46,102,1342037044,787564,6.015094261,-123.2516766
Volcanic Eruption,Bangladesh,2012,45,92,1225142604,733210,-10.45012528,-154.4438912
Earthquake,Mexico,2004,53,119,1650096177,235253,-10.1934999,-176.4433416
Wildfire,Mexico,1982,52,98,3311983433,219190,57.91949382,-69.84129285
Volcanic Eruption,Indonesia,2018,55,117,614363947,655312,44.49865156,-38.75185423
Volcanic Eruption,Brazil,2023,53,99,2946967917,257075,78.90120093,-93.22929636
Tsunami,USA,2023,47,91,2407174345,753132,25.89205558,-156.7423267
Storm,Mexico,1979,39,102,3878612494,249596,4.855924615,10.7507127
Storm,Bangladesh,2022,62,100,1186171079,275212,-47.38965919,-81.60504482
Earthquake,China,2013,39,112,1809487892,964905,79.51859873,106.5733758
Volcanic Eruption,Mexico,2016,55,98,1667565932,179598,17.21429141,-177.1010562
Storm,China,2022,40,104,2112606695,452174,38.06684576,123.3097385
Storm,Mexico,1979,55,117,1692929260,115729,-3.056065793,163.7113244
Earthquake,USA,2015,45,105,3134221585,76593,16.68019915,77.80862274
Storm,Nigeria,1982,51,118,1620355128,55041,71.96088247,84.11186349
Drought,Mexico,2006,67,84,4330577405,754518,-36.70127869,156.0824322
Flood,Bangladesh,2007,50,96,3513524433,235114,-19.06783819,-104.7343373
Tsunami,Mexico,1993,51,102,2782345835,325516,-38.71163811,178.0436046
Flood,Brazil,1971,52,110,4311484710,591850,50.91022653,98.45323322
Earthquake,USA,1991,44,107,2122247210,878531,-51.31366354,81.565455
Wildfire,Bangladesh,1986,46,94,282710609,588334,-48.57156902,-50.00739156
Tsunami,Philippines,2005,49,93,3029295237,985590,-18.21082421,16.47989475
Earthquake,Bangladesh,1983,52,95,2335469770,914520,11.98634533,55.41040378
Volcanic Eruption,Brazil,1979,46,96,119081058,882890,-3.121527922,43.32343007
Wildfire,Nigeria,2004,48,109,278885821,138161,-53.72571651,73.79446985
Flood,USA,1994,54,103,3152948014,803055,74.0488181,-150.3425739
Earthquake,Philippines,1972,41,104,1491212247,836073,73.40173285,-51.96656418
Volcanic Eruption,Brazil,2016,41,107,896007633,274187,-20.89011475,-23.75999403
Tsunami,Brazil,2007,54,113,4519277379,66572,42.41358614,-86.17345277
Tsunami,India,1986,50,83,1291050209,981640,21.00055759,-117.8541827
Landslide,USA,1981,52,100,4294548446,910650,-26.7532627,-129.9861072
Volcanic Eruption,Bangladesh,2023,49,98,1663148297,481268,-23.29598276,-48.10197879
Drought,China,2021,58,101,818345652,86700,8.761444403,-2.360987797
Storm,Nigeria,1993,40,103,3764698843,57061,-1.30682819,-157.3284815
Wildfire,China,1998,52,88,3408805677,117957,-19.22789405,160.7249141
Volcanic Eruption,Bangladesh,2012,38,103,4443422878,792554,53.05162348,95.48759623
Landslide,Bangladesh,1994,39,97,4773978496,833778,7.404808469,83.10663835
Storm,USA,2005,51,89,1201164926,518650,31.67872873,-117.770211
Storm,Bangladesh,1995,53,103,4057855880,228394,-33.50170998,37.36827648
Earthquake,India,2007,54,84,1908706733,900425,14.69107275,10.70098085
Storm,Philippines,1970,46,97,2842398193,409366,-15.48335308,173.6887845
Drought,Bangladesh,1989,52,99,2958442344,87630,13.69790546,89.16183723
Tsunami,China,1997,47,94,3744410694,77228,49.31561668,27.27427814
Landslide,Bangladesh,1985,49,92,146261315,274198,47.64784941,126.2925599
Storm,India,2016,54,93,1737584368,526055,-10.40910508,-124.1660625
Earthquake,Mexico,1986,47,95,3983863246,4708,37.19879639,-174.5220493
Drought,Mexico,2009,54,104,2172817832,762017,71.78059306,68.48400003
Flood,Brazil,1997,54,103,4434889274,844431,27.59370619,-144.6078743
Tsunami,Nigeria,1981,56,93,2865040001,576446,-39.22258273,-138.4438896
Tsunami,Indonesia,1996,48,99,2952830587,946796,35.1592081,88.08506151
Landslide,Philippines,2023,44,102,835650202,28082,-45.31338591,-82.60745611
Tsunami,Japan,2022,47,103,695107859,34024,62.09545723,46.3072376
Storm,Brazil,2011,47,102,888392150,285605,12.33246941,150.2664934
Earthquake,Nigeria,2016,42,86,534381018,5351,-6.080296916,-66.06916861
Tsunami,Mexico,1999,47,93,4151028072,964535,-52.01907675,-101.8281032
Tsunami,China,2010,40,98,4464007043,492269,-6.690277157,-141.6373619
Flood,Japan,2003,48,95,4064887439,869060,66.44893351,-133.0335499
Flood,Nigeria,2006,53,104,4284864521,104720,-57.06238052,-157.5998297
Wildfire,Nigeria,1975,53,108,3012760550,648789,6.450742089,-148.4487436
Drought,Brazil,1976,41,104,4821039666,432934,70.36213276,-24.47834803
Storm,Japan,2001,52,96,257150079,897064,-4.722260033,-64.48858379
Tsunami,USA,2001,48,110,1814884440,520751,-0.055403755,74.36189316
Volcanic Eruption,Indonesia,2022,41,92,4859279000,614865,20.99840773,133.286997
Tsunami,USA,1994,42,95,804342237,126875,4.811226701,102.5183531
Earthquake,Japan,2002,43,94,3715304080,746572,-36.39576323,11.0294124
Wildfire,USA,1976,51,116,1638965076,886449,-57.40222453,-143.1208382
Drought,India,2021,59,107,4487996473,668137,25.37363212,75.51622222
Volcanic Eruption,Mexico,1981,47,104,1152089797,745216,68.91292218,-49.3816591
Wildfire,India,1985,51,94,4526937359,139380,-45.10902138,-149.1658582
Landslide,Bangladesh,1985,51,100,2843068664,567729,-30.4666193,123.2879066
Drought,USA,2012,48,93,3081740019,637970,-8.167871985,-58.24205381
Tsunami,Bangladesh,2022,41,83,564872815,80865,53.22391206,-101.4304203
Tsunami,China,2005,49,92,4040766912,13882,-22.30355569,133.7227433
Drought,Philippines,1982,56,85,3866011245,114883,63.4876166,144.7681926
Tsunami,China,1976,58,93,1495975361,922218,-52.30589755,-57.97049861
Storm,Japan,2005,49,99,4774999332,222658,71.73392698,-52.27148906
Drought,Nigeria,2016,72,100,3025321627,174504,18.5045909,28.66626993
Wildfire,Mexico,2020,55,102,3852851413,212361,32.22887499,84.03893777
Drought,USA,1978,48,95,227154778,357659,-8.523466845,-157.2662873
Volcanic Eruption,Brazil,2001,52,96,609613348,634913,49.47919997,33.60371659
Tsunami,Philippines,1980,54,99,2660149778,997670,-36.68072499,163.0152222
Storm,Indonesia,1977,38,85,4440319707,650222,-53.15234446,-85.64619702
Storm,Indonesia,2002,45,107,3170305037,410874,-4.627627965,147.1777971
Landslide,Indonesia,1992,49,88,3497339062,724605,59.51739996,162.0606027
Wildfire,USA,1994,47,99,4097948112,754002,45.68975713,-83.10468925
Flood,Indonesia,1977,52,97,1701425451,367209,12.40183587,91.51267172
Flood,India,2014,47,123,2630659126,511415,20.0992846,-94.040997
Drought,Philippines,1991,49,110,1227589746,757939,-41.81500432,85.54001822
Landslide,India,1973,57,75,2808028367,258669,57.69541121,107.0711897
Earthquake,Nigeria,2009,52,102,2816634107,863459,50.17435561,-91.00594666
Drought,Philippines,1972,57,112,2545524107,706168,31.90585514,77.71303569
Landslide,India,1998,58,91,429039975,39530,5.266745086,112.357634
Wildfire,Philippines,2010,56,117,4275230401,139906,75.02429756,-50.91160604
Wildfire,Nigeria,1998,48,109,1819010221,407574,63.06447606,-119.6270006
Wildfire,Bangladesh,2003,51,100,1741619539,927376,30.22026909,-146.8927558
Wildfire,USA,2003,44,92,686660911,320838,-7.94786032,27.1374133
Wildfire,USA,1997,51,114,123813914,87193,26.52311902,172.115323
Landslide,Indonesia,1982,36,98,3904648549,647786,20.56172971,116.2621152
Landslide,China,1984,56,96,4546096670,181393,-4.806121703,-23.09772998
Storm,Indonesia,1992,44,109,671776512,745723,-17.06564396,13.18352503
Volcanic Eruption,Japan,2013,38,107,453314003,204781,-3.018489087,-79.36996125
Flood,India,1995,42,95,2603793442,278829,20.34759684,-121.2962878
Tsunami,Philippines,1973,43,95,247631945,928837,-0.06112174,-6.450783036
Wildfire,China,1995,34,95,2748327324,116254,-23.09957165,-13.13943618
Earthquake,Nigeria,2009,50,97,4780882887,666716,46.53486449,7.894783009
Tsunami,Japan,1978,47,91,3904737445,302728,14.40544943,163.0096508
Landslide,Nigeria,1974,41,98,855482514,503669,-50.52547715,37.40230805
Earthquake,USA,2001,36,100,3194347488,182434,-8.435689212,38.07786118
Earthquake,USA,1989,51,100,3802371884,535632,63.88788401,-133.9110854
Earthquake,Indonesia,2019,60,94,2489826132,638779,45.73311437,178.7359918
Storm,India,1980,68,120,1061207997,44619,-14.74545025,98.22417992
Landslide,China,1984,39,102,3805256698,498750,71.34564129,135.7932039
Earthquake,Mexico,2001,43,95,3205863730,631395,-49.27559283,-30.85185174
Wildfire,Japan,1997,53,87,4253727217,474547,74.57285854,0.766114483
Drought,Japan,1991,46,88,4295180107,226351,-25.60128705,7.950171298
Earthquake,Indonesia,2010,42,91,1610207828,133015,-58.72681476,-110.1259659
Storm,USA,1986,40,121,4786595814,221257,0.733125113,68.21609628
Tsunami,Indonesia,1995,44,101,606159344,715577,-9.744139844,145.0716205
Landslide,Philippines,2013,66,95,3666996649,112319,15.47246073,-121.0659055
Volcanic Eruption,China,1976,47,114,3391683782,414237,51.54820048,-148.9254215
Storm,India,2011,37,105,4503581287,794780,57.9403123,85.75880599
Earthquake,Bangladesh,1995,54,97,1795617991,208358,-3.827800054,-81.6473406
Landslide,Brazil,1994,48,97,95289589,464137,0.178404119,44.59051498
Drought,Brazil,1979,48,92,4021405086,671999,-39.25511775,70.47300168
Earthquake,Indonesia,2014,46,101,3029025871,85030,-53.34333476,-64.11212511
Storm,Philippines,1988,52,109,2895906506,457782,29.77009863,113.4520551
Flood,China,1980,46,105,449490988,697371,-50.97873242,17.99603356
Wildfire,Mexico,1982,44,99,1951181445,769937,42.73621672,132.8397869
Volcanic Eruption,Brazil,2022,42,97,1638829843,234408,15.4726203,94.78567892
Tsunami,China,1977,54,126,4915143791,366709,-32.19838305,132.6872275
Storm,India,2009,49,107,2540926703,805072,15.53321209,-172.7419024
Landslide,Nigeria,1973,37,96,2349217303,35402,-34.38031968,-92.33774613
Volcanic Eruption,Philippines,2016,47,97,3107801595,65088,1.423209051,-147.5971414
Volcanic Eruption,USA,2000,59,101,1640338809,977744,51.93844427,-20.85011381
Volcanic Eruption,China,1997,44,87,3663896606,395107,4.668701077,140.3856438
Earthquake,India,1980,48,89,946300998,159331,-39.18209544,-11.68550558
Wildfire,Mexico,2012,42,119,775150837,456237,41.33601546,125.896696
Earthquake,Bangladesh,1970,46,105,68033411,160059,-33.85242172,-62.21583431
Landslide,USA,2018,48,116,2313877995,183688,43.39698241,-57.75477379
Earthquake,Bangladesh,2016,59,108,311415176,917420,7.10932049,142.4022229
Flood,Mexico,2021,54,112,3199207844,141755,3.523846273,-26.70582726
Wildfire,India,2007,48,93,3866597576,454299,59.2009053,104.3155756
Wildfire,Brazil,1993,48,93,3978406285,796399,39.20449341,-94.80832276
Landslide,Bangladesh,2023,54,70,3429259313,601952,-55.39248843,161.5682987
Tsunami,USA,2016,41,93,4848067993,957698,-18.53559596,26.84816875
Flood,Indonesia,2000,43,92,241328589,624562,61.92889252,93.35648469
Storm,Japan,2010,54,102,3803330738,224903,-57.4343364,-147.7743481
Earthquake,China,2015,48,98,2996622992,479089,16.33548248,-2.640878701
Drought,Brazil,2019,52,86,4520352097,849093,41.89559368,144.3738592
Earthquake,Bangladesh,1995,42,106,2295579494,612026,27.05985197,135.7339065
Volcanic Eruption,Nigeria,2018,51,107,1224929393,203379,46.47450829,-163.1469754
Earthquake,China,2019,43,116,1674559417,829884,41.59685885,-70.66855111
Storm,Indonesia,1974,56,119,4298713751,537145,36.88429732,-20.40479767
Earthquake,Mexico,1989,45,111,2005293231,424517,55.01558053,-117.9846668
Flood,Japan,2021,51,105,2090787975,842332,30.39669358,82.79939196
Flood,India,2010,55,121,1927402816,555748,-3.661410804,-113.5756816
Wildfire,Indonesia,1980,50,103,2131028190,86923,6.067275388,-55.20971003
Landslide,Indonesia,2023,45,119,1464193860,836232,40.34146958,58.78102927
Tsunami,Mexico,2002,52,100,1672431460,403048,62.68284415,-6.447835971
Drought,Philippines,2019,45,109,3247451342,964912,-21.88936788,85.88557391
Volcanic Eruption,Mexico,2007,50,80,4609430058,799058,-12.10924856,166.0348444
Earthquake,Philippines,1996,55,101,3716873243,188944,70.30351549,-138.0431924
Earthquake,Philippines,2003,42,112,1848706506,477237,20.99165094,75.4443779
Storm,Brazil,1984,39,84,2497634309,996463,-34.9453456,-97.07610397
Landslide,Brazil,2001,51,101,3254335335,883371,32.91731945,-30.78837813
Flood,USA,1990,50,97,1143684289,620447,78.70670178,-168.1694187
Drought,Bangladesh,2015,43,97,3824870414,541090,55.28349903,-131.0733424
Wildfire,Bangladesh,1974,59,99,4206739221,278477,44.40375912,-64.88017594
Flood,India,1975,60,118,2123892206,297264,-30.8734684,-56.8851101
Volcanic Eruption,Bangladesh,2007,57,107,4300814714,617909,62.65956986,143.8506779
Landslide,Brazil,1991,51,100,1338862664,677519,13.61043809,87.05264734
Volcanic Eruption,USA,1987,45,95,980634234,417876,64.50060309,169.9858685
Tsunami,USA,1983,44,106,3891678195,581131,-13.82410388,35.66574372
Wildfire,Philippines,1979,51,100,4734961567,649467,-51.31285263,-92.98305645
Tsunami,Mexico,2015,48,100,4909539568,165591,6.636635612,-62.04418923
Storm,India,1982,38,90,942291684,356477,-22.22273533,-64.85906761
Volcanic Eruption,Philippines,2000,42,92,4724010680,739937,40.13210057,-62.46204204
Storm,Mexico,1999,43,108,2399610221,44935,73.9949174,62.26710232
Earthquake,Bangladesh,1972,48,92,1075620093,22507,36.73638116,11.09085411
Tsunami,Philippines,1999,54,109,887016592,202132,64.17075016,-41.24729589
Landslide,China,1975,63,99,4879859433,346415,3.423361904,-126.3276833
Volcanic Eruption,Bangladesh,1998,42,106,1824803765,843655,48.02970321,-172.0299013
Drought,Mexico,1977,49,110,4878111498,158747,58.02608113,-101.2195161
Wildfire,India,2013,53,94,1786917902,375631,39.52258786,-141.3102946
Flood,Mexico,2014,55,88,4934931415,541961,11.08882005,102.7602111
Landslide,Philippines,2012,60,94,2361182238,109619,27.62125535,-139.5007352
Landslide,Philippines,2013,44,105,2921822028,559758,38.0709794,80.72216543
Storm,Indonesia,2002,45,107,4031305990,828035,-24.56818355,-41.16287168
Tsunami,India,1986,41,94,4857406811,478041,53.34109653,-153.5837797
Volcanic Eruption,Nigeria,2017,50,98,3280203557,424446,73.04543546,112.5828178
Volcanic Eruption,Bangladesh,1980,44,107,1367687786,669902,5.133504125,28.66700529
Earthquake,USA,1982,56,112,4922427497,765923,38.14940564,-95.12585537
Earthquake,India,2019,48,103,4102003185,847839,43.18362681,142.0852228
Wildfire,USA,1980,64,97,4624069371,578109,32.71465665,-163.707007
Storm,India,2000,56,100,412480882,297834,16.59611517,-107.344941
Landslide,India,1997,48,101,3519742286,530942,63.43071364,90.73689401
Volcanic Eruption,Mexico,2013,54,113,3327469792,460773,2.849739298,75.37605491
Drought,India,1975,51,121,4028387700,636547,-51.44558609,-75.86219026
Storm,Indonesia,2010,50,93,609178401,740904,58.2378926,-157.6710449
Wildfire,Nigeria,1985,48,112,1614736280,350408,34.35737812,128.908106
Wildfire,Philippines,1973,55,108,2098467111,813878,58.89620771,-67.06885029
Storm,Japan,2004,48,92,4411278301,357659,-40.60335806,-109.5431706
Wildfire,USA,2017,43,89,3041683979,572772,-55.69458833,5.78225605
Storm,Philippines,1995,61,93,1670445612,568366,70.81243565,147.6817917
Flood,Japan,1981,58,106,2282257968,523259,-39.31803718,-164.323232
Storm,Nigeria,1980,67,102,1131403178,376968,53.35132649,95.68947169
Tsunami,Nigeria,2006,47,110,462081799,528513,55.24939191,26.09036206
Storm,USA,1994,50,104,891770704,386242,39.21872808,-26.83831804
Wildfire,USA,1987,44,91,927365669,74745,-41.62329045,87.86895988
Volcanic Eruption,Nigeria,1988,46,103,3520015408,241268,33.43580744,167.6967928
Tsunami,Japan,1992,59,108,3371921048,474475,64.47212167,-97.48576398
Wildfire,India,2007,41,95,3993130970,176559,-0.425569728,-128.2869486
Earthquake,Bangladesh,2023,65,106,3250590100,724036,-2.107640387,148.6374283
Earthquake,China,1987,46,98,223956784,11721,2.000163341,60.82310788
Volcanic Eruption,Philippines,1995,53,97,4833987510,395803,-48.48193531,-22.32503224
Volcanic Eruption,Mexico,1975,40,94,3654232484,108878,64.88357966,26.3734453
Tsunami,Philippines,1973,46,105,39155631,563725,61.68560096,88.42100586
Flood,Mexico,2013,55,112,4453299006,150061,79.70730505,98.29148353
Volcanic Eruption,Japan,2020,65,104,2563911499,688086,21.92563981,151.1619051
Earthquake,Mexico,1998,59,86,1856645039,725900,45.1668291,-26.336596
Storm,USA,2003,54,113,2268352741,866269,-31.62593312,-74.37207239
Wildfire,Bangladesh,1986,54,82,1996156545,622503,33.45403455,50.27913604
Earthquake,Bangladesh,2012,59,111,4821125187,387581,30.96259883,-30.33795626
Earthquake,USA,2012,35,112,4084833873,827600,66.16922302,34.05544342
Flood,Indonesia,2022,49,101,3619284447,982173,56.3109812,-28.80511256
Tsunami,Japan,1985,47,98,2743149539,990544,71.38530477,-124.9215168
Tsunami,Indonesia,1971,58,93,4051026127,364258,61.63668618,-11.0063694
